Transaction ID,Payer Name,Receiver Name,Transaction Details,Amount,Receiver Country,Payer Type,Receiver Type,Risk Score
TXN111,XYZ Ltd,ABC GmbH,Offshore funding,4557209,USA,Corporation,Corporation,0.1
TXN805,XYZ Ltd,CCMI,Grant disbursement,235218,BVI,Corporation,Corporation,0.6
TXN598,Acme Corp,ABC GmbH,Grant disbursement,2619937,Cayman Islands,Corporation,Corporation,0.6
TXN882,Bright Future Fund,ABC GmbH,Offshore funding,690123,Switzerland,Corporation,Corporation,0.6
TXN378,Bright Future Fund,CCMI,Payment for consulting,2210409,Switzerland,Corporation,Corporation,0.6
TXN635,XYZ Ltd,SovCo Capital Partners,Grant disbursement,3312171,Switzerland,Corporation,Corporation,0.6
TXN120,XYZ Ltd,Save the Children,Payment for consulting,991443,Cayman Islands,Corporation,NGO,0.6
TXN732,Quantum Holdings Ltd,ABC GmbH,Payment for consulting,2631827,USA,Shell Company,Corporation,0.4
TXN208,Quantum Holdings Ltd,CCMI,Grant disbursement,1213535,Cayman Islands,Shell Company,Corporation,0.8999999999999999
TXN578,Oceanic Holdings LLC,Save the Children,Purchase of assets,4164901,Panama,Shell Company,NGO,0.8999999999999999
TXN405,Quantum Holdings Ltd,Alas Chiricanas,Payment for consulting,732036,Switzerland,Shell Company,Blacklisted,1.0
TXN385,Bright Future Fund,Alas Chiricanas,Environmental project funding,2254827,Panama,Corporation,Blacklisted,1.0
TXN923,XYZ Ltd,SovCo Capital Partners,Environmental project funding,287225,UK,Corporation,Corporation,0.1
TXN304,Acme Corp,Alas Chiricanas,Offshore funding,1800660,Cayman Islands,Corporation,Blacklisted,1.0
TXN764,Oceanic Holdings LLC,SovCo Capital Partners,Environmental project funding,1239051,BVI,Shell Company,Corporation,0.8999999999999999
TXN395,Oceanic Holdings LLC,Save the Children,Purchase of assets,3975799,BVI,Shell Company,NGO,0.8999999999999999
TXN244,Quantum Holdings Ltd,SovCo Capital Partners,Payment for consulting,1066419,Panama,Shell Company,Corporation,0.8999999999999999
